"title","year","actors","directors","country","language","description"
"The Shaggy D.A.",1976,"Dean Jones Suzanne Pleshette Tim Conway Keenan Wynn","Robert Stevenson","United States","English","Wilby Daniels (Dean Jones) is now a successful attorney who is married to Betty (Suzanne Pleshette), and they have a son named Brian (Shane Sinutko). Returning to the town of Medfield from a vacation, the family discovers that they have been robbed of almost all their possessions, and Wilby blames the local district attorney John Slade (Keenan Wynn), who is reputed to have connections with organized crime, particularly with warehouse owner Edward ""Fast Eddie"" Roshak (Vic Tayback). After being robbed a second time later that night (along with their Navy admiral neighbor, Gordon C. Brenner), Wilby vows to run for district attorney to make his town safe again."
"The Slipper and the Rose",1976,"Richard Chamberlain Gemma Craven Annette Crosbie Edith Evans Christopher Gable Michael Hordern Margaret Lockwood Kenneth More","Bryan Forbes","United Kingdom","English","Prince Edward of Euphrania returns home after meeting the princess Selena of Carolsveld, whom his parents have arranged for him to marry. However, The Prince did not propose to the princess, and angrily denounces arranged marriages (""Why Can't I Be Two People?""). Edward prefers to marry for love while his parents want a political alliance (""What Has Love Got to Do with Being Married?"")."
"The Smurfs and the Magic Flute",1976,"(See cast below)[1][2]","José Dutillieu[1]","Belgium","French","This story is set at a castle during the Middle Ages. One day a merchant brings musical instruments to sell to Peewit, the court jester, but because Peewit is such a terrible musician the King throws the merchant out before Peewit arrives. However he has left behind a flute that has only six holes. The King throws it into the fireplace in his room, which starts to emit green smoke. When the fire is put out, Peewit retrieves the flute from the ashes unharmed. He cleans it and starts playing it for the whole castle realizing that it causes everyone to dance when it is played."
"Storm Boy",1976,"Greg Rowe,Peter Cummins,David Gulpilil","Henri Safran","Australia","English","Mike (Greg Rowe) is a lonely young boy wandering through the fierce deserted coast of South Australia's Coorong, near the mouth of the Murray River. He and his reclusive father 'Hide Away' Tom (Peter Cummins) live in the isolated sand dunes facing the Southern Ocean. In search of friendship, Mike encounters another recluse in the wilderness, Fingerbone Bill (David Gulpilil), an Aboriginal man estranged from his tribal people. Fingerbone names Mike ""Storm Boy"" and enlists the child's help caring for three orphaned pelican chicks."
"Treasure of Matecumbe",1976,"Johnny Doran Billy Atmore Robert Foxworth Joan Hackett Peter Ustinov Vic Morrow","Vincent Mc Eveety","United States","English",NA
"The Twelve Tasks of Asterix
Les Douze travaux d'Astérix",1976,NA,"René Goscinny Albert Uderzo Pierre Watrin Henri Gruel Don Jurwich (English)","France Belgium","French English","After the Gauls have defeated a group of Roman legionaries once again two of them start to wonder whether the Gauls are actually human, since their strength is so extraordinary. They start to assume that they might be gods, giving a reason to the fact why they can never be beaten. The idea is suggested to Julius Caesar who remains skeptical but decides to travel to the Gaulish village and offers their chieftain Vitalstatistix a challenge. He gives the Gauls a series of 12 tasks, inspired by Hercules (but new ones, since the 12 Labours are outdated). Vitalstatistix assembles their best warriors, Asterix and Obelix, to do the job. The Roman Caius Tiddlus is sent along with them as a guide and referee."
"The Billion Dollar Hobo",1977,"Tim Conway Will Geer","Stuart E. Mc Gowan"," United States","English","Conway is Vernon Praiseworthy, only heir to his uncle's fortune, who faced poverty and misfortune during the Great Depression but managed to build up his riches despite these hardships. To become eligible for the inheritance, Vernon must suffer as his uncle did by becoming a migrant hobo for a time. Soon after, Vernon and the dog sent to protect him are caught up in a dognapping scheme"
"Blue Fire Lady",1977,"Cathryn Harrison Mark Holden","Ross Dimsey","Australia","English","Jenny Grey is a young girl who wants to be a competitive show rider but her father Alan doesn't approve, because his wife was killed in a riding accident. Jenny rides when she can and helps her neighbours deliver a foal. Alan sends Jenny off to boarding school in Melbourne to forget the idea but she rides whenever she can. When Jenny turns 18 she gets a job as a stable hand at Caulfield racetrack with the trainer Mr Mc Intyre and takes a room in a boarding house run by the caring Mrs Gianini, who also rents a room to Barry, a university student and mechanic. Jenny loves her job but frowns upon Mr Mc Intyre's seemingly uncaring treatment of his horses, namely when he works and races a horse with a sore leg, and sends the old stable dog to be put down. Jenny adopts the dog, whom Mrs G nicknames ""Mr Dog"", and soon a new horse arrives at the stables, a chestnut filly with a big blaze. The filly is the foal Jenny helped birth and has been given the name Blue Fire Lady. Lady is vicious toward the other stablehands but loves Jenny, who kindly begins to train her for the races as her rider and strapper. Meanwhile, she develops a romance with Barry, her house-mate."
"Candleshoe",1977,"Jodie Foster David Niven Helen Hayes Leo Mc Kern","Norman Tokar","United States","English","Con-artist Harry Bundage (Mc Kern) believes that the lost treasure of pirate captain Joshua St. Edmund is hidden at Candleshoe, the large country estate of Lady St. Edmund (Hayes). Having gained access to Captain St. Edmund's hidden will with the help of a corrupt former cleaning woman at Candleshoe, Harry recruits American Casey Brown (Foster)—an unwanted foster child and hooligan—into the plot, employing her to pose as Lady St. Edmund's granddaughter, the Honourable Margaret, 4th Marchioness of St. Edmund, who was kidnapped at age four by her father and subsequently disappeared after her father's death. Casey is the right age to pass for Margaret and possesses several identifying scars that young Margaret was known to have. Casey agrees to go along with the con and discover further clues in exchange for a cut of the treasure."
"Dot and the Kangaroo",1977,"Lola Brooks Joan Bruce Barbara Frawley Peter Gwynne Ron Haddrick Ross Higgins Richard Meikle Spike Milligan June Salter","Yoram Gross","Australia","English","When 5-year-old Dot finds herself lost in the Australian bush, a red kangaroo who has lost her joey (baby kangaroo), promises to help Dot find her way home. In the process, the kangaroo introduces Dot to a number of other animals, teaching her a greater appreciation for nature."
"For the Love of Benji",1977,"Benjean Patsy Garrett Cynthia Smith Allen Fiuzat Ed Nelson Peter Bowles Art Vasil Bridget Armstrong","Joe Camp","United States","English","Mary (Patsy Garrett) and the Chapman kids, Paul and Cindy (Allen Fiuzat and Cynthia Smith, respectively), take a vacation to Athens, Greece, with Benji and Tiffany in tow. (Dr. Chapman remains back home on business, planning to join the family later, hence the reason for him not appearing in the film.)"
"The Glitterball",1977,"Ben Buckton Keith Jayne Ronald Pember Marjorie Yates Barry Jackson","Harley Cokliss","United Kingdom","English","Two boys befriend a stranded alien in the shape of a little silver ball and help it to return home.[4]"
"Gulliver's Travels",1977,"Richard Harris Catherine Schell Norman Shelley Meredith Edwards Rod Taylor","Peter R. Hunt","United Kingdom Belgium","English",NA
"Herbie Goes to Monte Carlo",1977,"Dean Jones Don Knotts Julie Sommars Jacques Marin Roy Kinnear Bernard Fox Eric Braeden Xavier Saint-Macary Johnny Haymer","Vincent Mc Eveety","United States","English","The film stars Dean Jones as returning champion race car driver Jim Douglas, joined by his somewhat cynical and eccentric riding mechanic Wheely Applegate (Don Knotts). Together with Herbie, the ""Love Bug"", a 1963 Volkswagen Beetle, they are participating in the fictional Trans-France Race, from Paris, France, to Monte Carlo, Monaco. According to dialogue, they hope to stage a racing comeback in the event."
"The Hobbit",1977,"Orson Bean Richard Boone Hans Conried John Huston Otto Preminger Cyril Ritchard Theodore","Arthur Rankin, Jr.Jules Bass"," of origin United States Japan",NA,"The plot of the animated production is in most respects similar to that of the book; but certain plot points are significantly compressed or removed due to the time limitations of the format. In addition, certain scenes are obviously edited for commercial breaks. In general, alterations are confined to simple omission of detail, and the plot adheres to the written text, including lyrics adapted from the songs in the book but in much longer and greater format.[2]"
"The Many Adventures of Winnie the Pooh
",1977,"Sterling Holloway John Fiedler Junius Matthews Paul Winchell Howard Morris Bruce Reitherman Jon Walmsley Timothy Turner","John Lounsbery Wolfgang Reitherman",NA,"English","The film's content is derived from three previously released animated featurettes Disney produced based upon the Winnie-the-Pooh books by A. A. Milne: Winnie the Pooh and the Honey Tree (1966), Winnie the Pooh and the Blustery Day (1968), and Winnie the Pooh and Tigger Too (1974). Extra material was used to link the three featurettes together to allow the stories to merge into each other."
NA,1967,NA,NA,"USA","English",NA
"Pete's Dragon",1977,"Helen Reddy Jim Dale Mickey Rooney Red Buttons Jeff Conaway Shelley Winters","Don Chaffey","United States","English","In the early 1900s, Pete flees his abusive hillbilly foster family, the Gogans, with help from Elliott who can make himself invisible."
"The Prince and the Pauper",1977,"Mark Lester Ernest Borgnine Oliver Reed Raquel Welch Rex Harrison","Richard Fleischer","United Kingdom","English","In 16th Century London, a pauper called Tom Canty reads to a group a children but is attacked by his cruel father John Canty and threatened that he will be beaten if he does not steal five shillings by suppertime. Tom goes into the city square and steals a purse from a rich man, but drops it after bumping into another man. Thinking that Tom still has the purse, the rich man and other men chase Tom through the streets of London. Tom escapes by climbing up a wall and through a window, where he falls into a palace garden in front of King Henry VIII, who sets the guards on him. However, Tom outruns them by going to the roof of the castle and hiding in a chimney. In the grounds, Henry VIII orders for The Duke of Norfolk to be arrested during the masked ball that evening."
"Race for Your Life,
Charlie Brown",1977,"Duncan Watson Stuart Brotman Gail Davis Liam Martin Melanie Kohn Jimmy Ahrens Kirk Jue Jordan Warren Tom Muller Greg Felton Joseph Biter Bill Melendez Jackson Beck","Bill Melendez Phil Roman (co-director)","United States","English","The Peanuts gang heads off to Camp Remote somewhere in the mountains. Charlie Brown is accidentally left behind by the bus while at a desolate rest stop. He is then forced to hitch a harrowing ride on Snoopy's motorcycle in order to make the rest of the journey to the camp, accompanied by rock guitar type riffs while he is shouting in fear at Snoopy's wild driving."
"Raggedy Ann & Andy:
A Musical Adventure",1977,"Claire Williams Didi Conn Mark Baker","Richard Williams","United States","English","Raggedy Ann is the beloved doll of Marcella, along with her brother Raggedy Andy and a whole nursery full of colorful toys. Whenever Marcella leaves the room, the dolls come to life. On Marcella's seventh birthday, a new doll named Babette, arrives from Paris, France to New Hampshire. Babette is a spoiled girl who is unaware she is a doll, but the friendly Raggedy Ann does everything she can to make Babette feel at home. Soon, however, the Captain Contagious, who lives in Marcella's snow globe, becomes smitten with Babette and kidnaps her. Raggedy Ann and Andy set off to try to rescue her before Marcella discovers Babette is gone. Out in the world outside the nursery, the two meet the Camel with the Wrinkled Knees, a blue toy camel who has been cast off by past owners and is now heartbroken and lonely. Raggedy Ann assures him a home with Marcella, and he joins their rescue party."
"The Rescuers",1977,"Bob Newhart Eva Gabor Michelle Stacy Geraldine Page Joe Flynn Jim Jordan John Mc Intire Jeanette Nolan Pat Buttram Bernard Fox","Wolfgang Reitherman John Lounsbery Art Stevens","United States","English","In an abandoned river boat in Devil's Bayou, a young orphan named Penny drops a message in a bottle, containing a plea for help into the river. The bottle washes up in New York City, where it is recovered by the Rescue Aid Society, an international mouse organization inside the United Nations. The Hungarian representative, Miss Bianca, volunteers to accept the case and chooses Bernard, a stammering janitor, as her co-agent. The two visit Morningside Orphanage, where Penny lived, and meet an old cat named Rufus. He tells them about a woman named Madame Medusa who once tried to lure Penny into her car and may have succeeded in abducting Penny this time."
"Return to Boggy Creek",1977,"Dawn Wells Dana Plato David Sobiesk","Tom Moore","United States","English",NA
"Sinbad and the Eye of the Tiger",1977,"Patrick Wayne Taryn Power Margaret Whiting Jane Seymour Patrick Troughton","Sam Wanamaker","United Kingdom","English","In the kingdom of Charak, a celebration is taking place for the coronation of Prince Kassim (Damien Thomas). But Kassim's evil stepmother, Zenobia (Margaret Whiting), places a curse on him and turns Kassim into a baboon (one of Harryhausen's stop-motion creations) just as he was going to be crowned caliph."
"Wombling Free",1977,"The Wombles David Tomlinson Frances de la Tour Bonnie Langford","Lionel Jeffries","United Kingdom","English","Based on the popular BBC children’s series, this film charts the adventures of the Wombles, a colony of small litter-picking creatures who live in Wimbledon Common in 1970s' London, England. The film begins with Great Uncle Bulgaria Womble telling the story of how Wombles have always been cleaning up after humans from the very beginning with Adam and Eve, and how Wombles continue to clean up after humans for generations up to the present day all around the world, including the United States, Russia, and India. Only seen by those who believe in them, their work goes largely unnoticed until a young girl, Kim, spots them and their worthwhile purpose. As she invites them to her birthday party, her father is forced to believe as he comes face to face with Orinoco, Tobermory and the rest. A public meeting is set to prove to the local population that the Wombles do exist and should be aided in their anti-rubbish campaign. But on the day in question, a storm breaks out over the Common."
"Blue Fin",1978,"Hardy Krüger Greg Rowe Elspeth Ballantyne","Carl Schultz","Australia","English","Based on the children's novel by celebrated South Australian author 'Colin Thiele', this is an emotional father and son story about tuna fishing of Southern Blue Fin tuna in South Australia's Port Lincoln fishing district. Accident prone son Snook is forever making mistakes much to the chagrin of his father Pascoe. But when tragedy strikes the fishing boat during a deep sea fishing trek in the Southern Ocean, the boy is called on to become a man in a rites of sea passage to reconcile is past mishaps and save both his father and the ship from certain disaster."
"Candleshoe",1977,"Jodie Foster David Niven Helen Hayes Leo Mc Kern","Norman Tokar","United States","English","Con-artist Harry Bundage (Mc Kern) believes that the lost treasure of pirate captain Joshua St. Edmund is hidden at Candleshoe, the large country estate of Lady St. Edmund (Hayes). Having gained access to Captain St. Edmund's hidden will with the help of a corrupt former cleaning woman at Candleshoe, Harry recruits American Casey Brown (Foster)—an unwanted foster child and hooligan—into the plot, employing her to pose as Lady St. Edmund's granddaughter, the Honourable Margaret, 4th Marchioness of St. Edmund, who was kidnapped at age four by her father and subsequently disappeared after her father's death. Casey is the right age to pass for Margaret and possesses several identifying scars that young Margaret was known to have. Casey agrees to go along with the con and discover further clues in exchange for a cut of the treasure."
"Casey's Shadow",1978,"Walter Matthau Alexis Smith Murray Hamilton","Martin Ritt","United States","English","Down on his luck Louisiana horse trainer Lloyd Bourdelle (Walter Matthau) dreams of winning the All American Futurity at Ruidoso Downs in New Mexico. Lloyd has three sons: Buddy, Randy, and Casey. Buddy (Andrew Rubin) helps his father train horses, while Randy (Steve Burns) is a jockey. Lloyd takes Casey (Michael Hershewe) and Randy to a small bush track, to try to make some money by racing Casey's pony, Gypsy. They find a match race with Mr. Marsh (Robert Webber) and his daughter Kelly (Susan Myers) but play a trick on Marsh by tying a live chicken to Gypsy's saddle. Gypsy wins the race, but Marsh doesn't pay up, complaining that Lloyd cheated him by not having a rider on Gypsy."
"The Cat from Outer Space",1978,"Ronnie Schell Ken Berry Sandy Duncan Harry Morgan Roddy Mc Dowall Mc Lean Stevenson","Norman Tokar","United States","English","An unidentified flying object makes an emergency landing on Earth and is taken into custody by the United States government. The occupant of the ""flying saucer"" turns out to be a strange cat-like alien named Zunar-J-5/9 Doric-4-7. Since the Mother Ship cannot send a rescue party before it leaves the solar system, the cat sets about investigating how to repair the ship himself. Using a special collar that amplifies telekinetic and telepathic abilities, he follows the military to the Energy Research Laboratory (or E.R.L.), where they hope to learn how the UFO's power source works. One of the lab's scientists, Dr. Frank Wilson, attracts the cat's attention when his theory on the power source, while ridiculed by the rest of the staff, is actually on the right track."
"The Further Adventures of the Wilderness Family
(aka Wilderness Family, Part 2)",NA,"Robert Logan Susan Damante-Shaw George Buck Flower Heather Rattray","Frank Zuniga"," of origin U.S.",NA,"In this sequel, the Robinsons continue their relaxed life in the mountains. More adventure awaits as they prepare themselves for the upcoming fierce winter. Pat fights a bout of pneumonia as the cold weather takes hold. The wildlife continues to be menacing and dangerous at times. Skip attempts to return to civilization for medication to treat Pat's pneumonia on skis and is caught in an avalanche. Meanwhile, Pat and the children are terrorized by a pack a hungry wolves led by the giant pack leader named ""Scarface"" because of his disfigured eye. Pat struggles to fight them off with a shotgun as they methodically tear their way into the house and finally confronts Scarface in an explosive climax. The Robinson's courage and the will to survive, along with breathtaking surroundings, help keep the family happy in their mountain home."
"Hot Lead and Cold Feet",1978,"Jim Dale Karen Valentine Don Knotts Jack Elam Darren Mc Gavin","Robert Butler","United States","English","Jasper Bloodshy (Dale) runs the rough-and-tumble town of Bloodshy—named after him because he founded it—which lives in fear of Jasper's gunslinging son Wild Billy (also played by Dale). Jasper has just found out he has another son named Eli (again, played by Dale), who lives in Philadelphia."
"International Velvet",1978,"Tatum O'Neal Nanette Newman Anthony Hopkins Christopher Plummer Jeffrey Byron Sarah Bullen Richard Warwick","Bryan Forbes","United States","English","The film follows the story of a teenage girl from Cave Creek, Arizona, Sarah Velvet Brown (Tatum O'Neal). Sarah is the daughter of Velvet's younger brother Donald Brown, and is orphaned when Donald and his wife are killed in a car accident. Velvet becomes Sarah's legal guardian after the death of her brother and sister-in-law. Sarah is sent to England to live with Velvet Brown (Nanette Newman) and Velvet's boyfriend John (Christopher Plummer). After the events of ""National Velvet"" Donald got married, had Sarah, and moved from England to Arizona."
"The Lord of the Rings",1978,"Christopher Guard William Squire Michael Scholes John Hurt Simon Chandler Dominic Guard Michael Graham Cox Anthony Daniels David Buck","Ralph Bakshi","United States","English","Early in the Second Age of Middle-earth, elven smiths forge nine Rings of Power for mortal men, seven for the Dwarf-Lords, and three for the Elf-Kings. Soon after, the Dark Lord Sauron makes the One Ring, and uses it to attempt to conquer Middle-earth. Following the Last Alliance of Elves and Men's fall, the Ring is seized by Prince Isildur; and after Isildur was killed by orcs, the Ring lies at the bottom of the river Anduin for over 2,500 years. Over time, Sauron captures the Nine Rings and transforms their owners into the Ringwraiths. The One Ring is discovered by Déagol, whose friend, Sméagol, kills him and takes the Ring for himself. The Ring twists his body and mind, and he becomes the creature Gollum (Peter Woodthorpe). Hundreds of years later, Bilbo Baggins (Norman Bird) finds the Ring in Gollum's cave and takes it back to the Shire."
"The Magic of Lassie",1978,"James Stewart Michael Sharrett Lassie Pernell Roberts Mickey Rooney Stephanie Zimbalist Alice Faye","Don Chaffey","United States","English","The Mitchell Vineyard, in the rolling hills of Northern California, is the very blood of Clovis Mitchell (Stewart), a spare and dignified grandfather and guardian to Kelly (Stephanie Zimbalist) and her brother Chris (Michael Sharrett). The heart of the household, though, is Lassie, a handsome young collie, affectionate, obedient, sensitive, and very wise. A threat is in the air one night when Jamison (Roberts) and his associate Finch (Robert Lussier) appear at the winery and offer to buy the land from Clovis. They get a flat refusal from the old man, while Lassie growls in the background. Jamison promises to return, and does, to claim Lassie, one of a litter he says escaped during a fire. She has a tattoo mark in her right ear to prove it. Clovis has no alternative but to give up the dog, and tells his heart-broken grandchildren. Lassie has an alternative; taken by private plane to Jamison's home in Colorado Springs, fitted with a handsome green collar with gold studs, Lassie makes her escape. Chased by helicopter and kennel men through the rocks and hills of Colorado, Lassie manages to elude them and out-stare a cougar before she joins up with new friends – Gus (Rooney), a down-at-heel wrestling manager and Apollo (Mike Mazurki), a kindly mountain of a man and Gus's so-called star."
"Return from Witch Mountain",1978,"Bette Davis Christopher Lee Kim Richards Ike Eisenmann Jack Soo Anthony James","John Hough","United States","English","Tony and his sister Tia are in need of a vacation. Uncle Bené drops them off in their flying saucer at the Rose Bowl stadium in Los Angeles, California, after which the siblings quickly become separated from each other. A man named Dr. Victor Gannon (Lee) and his assistant Letha Wedge (Davis) happen to see Tony using his powers to save Letha's nephew Sickle from certain death. Realizing that Tony has supernatural powers, Dr. Gannon drugs the boy with a tranquilizer shot and takes him back to their laboratory. There, Dr. Gannon successfully tests a new mind-control technology on him. Under its influence, Tony is completely hypnotized and does everything that his kidnappers want him to do, including stealing gold from a museum exhibit and stopping Tia from finding them. With Tony at his robotic bidding, Dr. Gannon hopes to achieve recognition within the scientific community and worldwide power, while Letha merely wants a return on her investment."
NA,1978,NA,NA,NA,NA,"Sanrio World of Animation: Hello Kitty"
"Sammy's Super T-Shirt",1978,"Reggie Winch Lawrie Mark David Young Keith Jayne Richard Vernon Julian Holloway Patsy Rowlands","Jeremy Summers","United Kingdom","English",NA
"The Sea Gypsies",1978,"Robert Logan Mikki Jamison Heather Rattray","Stewart Raffill","United States","English","Travis and his two daughters, Courtney and Samantha, set off on a dangerous trip around the world on a sailboat. Along for the trip is Kelly, a journalist who has been assigned to cover the voyage. Also, Jesse, a stowaway, is found aboard adding a fifth person on the trip. Soon, they are shipwrecked on a deserted island and must learn how to survive together in a sometimes dangerous environment."
"The Water Babies",1978,"James Mason Bernard Cribbins Billie Whitelaw Joan Greenwood David Tomlinson Tommy Pendler Samantha Gates","Lionel Jeffries","Poland United Kingdom","English","When a 12-year-old chimney sweep is wrongfully blamed for being a thief, he makes a run for it with his dog Toby, and they end up jumping into a violent river. There they encounter a civilisation of anthropomorphic underwater creatures. Before he can return to the surface and clear his name, however, Tom must help rescue his new friends, the Water Babies, from their nemesis. Featured voices include those of James Mason, Bernard Cribbins and Tommy Pender. The film starts and ends similarly to the book, though in the book Tom actually dies, and is only allowed above the sea on a temporary basis. The movie also adds a whole new subplot, involving a Killer Shark, an Electric Eel and the mythical Kraken, who decides whether or not Tom can return to the surface. There are also several invented characters, whom Tom befriends on his quest: Jock, a Scottish lobster, Terence, an effeminate starstruck seahorse, and Claude, a foppish French swordfish."
"The Adventure of Sudsakorn",1979,NA,"Payut Ngaokrachang","Thailand","Thai","Sudsakorn, the son of a mermaid and a minstrel prince, fights on different occasions, an elephant, shark, and dragon horse, and encounters in his meanderings a king, a hermit, a yogi, a magic wand, and ghosts."
"The Black Stallion",1979,"Kelly Reno Mickey Rooney Teri Garr","Carroll Ballard","United States","English","Alec Ramsey is aboard the steamer Drake off the coast of North Africa, where he sees a wild black stallion being forced into a makeshift stable and heavily restrained by ropes leading to his halter. Captivated by the horse, Alec later sneaks to the horse to feed him some sugar cubes, but he is caught by the horse's supposed owner, who tells him in Arabic to stay away from Shetan and shoves the boy away."
"The Bugs Bunny/Road Runner Movie",1979,"Mel Blanc (voice)","Chuck Jones Phil Monroe","United States","English","Bugs Bunny, while giving a tour of his home, talks about some of the famous rivalries, battles, and chases from the Looney Tunes shorts, which serves as introductions to footage from the classic short subjects. The final segment of the film consists of an extended chase sequence between Wile E. Coyote and The Road Runner."
"C.H.O.M.P.S",1979,"Wesley Eure Valerie Bertinelli Conrad Bain","Don Chaffey","United States","English","Brian Foster (Wesley Eure), a young inventor, creates a robotic dog for use as part of a home protection system. C.H.O.M.P.S. is an acronym for ""Canine HOMe Protection System."" Ralph Norton (Conrad Bain) is his boss who he constantly argues with. Norton's daughter Casey (Valerie Bertinelli) and Foster develop a relationship. A rival company wants the dog and sends a few petty criminals to dognap ""C.H.O.M.P.S."""
"Mountain Family Robinson",1979,"Robert Logan Susan Damante-Shaw George Buck Flower Heather Rattray","John Cotter","United States","English","In the final sequel, the Robinsons celebrate the arrival of spring after surviving a fierce winter. Soon their happiness is quickly dashed as a Forest Service ranger informs them they must prove their mountain home is located on a legitimate mining claim or they must move out. Also, Pat finds out that her mother is ill and decides to go back to Los Angeles. Will the Robinsons lose their mountain home? Will Pat come back from the city?"
"The Muppet Movie",1979,"Jim Henson Frank Oz Jerry Nelson Richard Hunt Dave Goelz Charles Durning Austin Pendleton","James Frawley","United Kingdom United States","English","The Muppets have gathered in a theatre, in a Hollywood film studio, to screen their new biographical film, The Muppet Movie."
"The North Avenue Irregulars",1979,"Edward Herrmann Barbara Harris Susan Clark Karen Valentine Michael Constantine Cloris Leachman Steve Franken Patsy Kelly Douglas Fowley Virginia Capers Melora Hardin Alan Hale, Jr.Ruth Buzzi","Bruce Bilson","United States","English","Reverend Michael Hill (Edward Herrmann) and his two children arrive in a fictional California town. He is there to serve as the new minister at the North Avenue Presbyterian Church. The secretary/music director for the church, Anne (Susan Clark), is wary of the changes Hill intends to implement. Hill wants to get people involved, and asks Mrs. Rose Rafferty (Patsy Kelly, in her final movie role) to handle the church's sinking fund."
NA,1927,NA,NA,"Tarka the Otter: His Joyful Water-Life and Death in the  of the Two Rivers",NA,"The book is separated into two main parts, ""The First Year"" and ""The Last Year"". It begins shortly before the birth of Tarka in an otter holt on the River Torridge, near the Rolle Canal aqueduct on the Beam estate. After a period learning to swim and hunt, and losing a sibling in a trap, he is separated from his mother and wanders around North Devon alone. His first mate is an elderly otter called Greymuzzle, who is killed during Tarka's first winter, which is unusually harsh. In his second year, he fathers a litter of cubs with his second mate, White-tip. Throughout the book Williamson juxtaposes Tarka with his main enemy, the local otter hunt, and particularly the pied hound Deadlock, ""the truest marking-hound in the country of the Two Rivers"" (p. 23). The book ends with a climactic nine-hour hunt of Tarka by the pack, and a confrontation between Tarka and Deadlock. Williamson's attitude to the hunt is somewhat ambivalent: while admiring them for their own regard for and knowledge of the otter, and despite being personally friendly with his local hunt, the violence and cruelty of some of his descriptions of hunting is clear.[3]"
"Taro the Dragon Boy",1979,"Kazuo Kitamura Sayuri Yoshinaga Junya Kato Kirin Kiki Kazuo Kumakura","Kiriro Urayama Peter Fernandez","Japan","Japanese","In the distant past of Japan, a lazy and selfish Taro loves to eat and sleep and wrestle with the animals. With no direction in his life, a Tengu appears that gives him a special potion. With this potion, he gains the strength of a hundred men - but he can only use it when he is helping others. After drinking the potion, Taro, day by day, begins to understand what it means to help others, first by fighting Akaoni (Red Oni) to save Aya, a young girl gifted with the flute, then by helping others in his village collect fire wood."
"Unidentified Flying Oddball",1979,"Dennis Dugan Jim Dale Ron Moody Kenneth More John Le Mesurier","Russ Mayberry","United Kingdom United States[1]","English",NA
"Bon Voyage, Charlie Brown (and Don't Come Back!!)",1980,"Arrin Skelley Daniel Anderson Patricia Patts Casey Carlson Annalisa Bortolin Laura Planting Bill Melendez","Bill Melendez Phil Roman (co-director)","United States","English","At Charlie Brown's school, Linus Van Pelt introduces to his class two French students, Babette and Jacques, who will be spending two weeks there in order to get accustomed the United States. In exchange, Charlie Brown, Linus, Peppermint Patty, Marcie, Snoopy, and Woodstock head to Europe on a student exchange plan for part of their school year. Charlie Brown is not very positive about the trip because of a letter from France that arrived before his departure, which invites him to stay at a French chateau, the Château du Mal Voisin (House of the Bad Neighbor). The letter is written in French, but Marcie, who has been studying French, translates it."
"The King and the Mockingbird",1952,"Jean Martin Pascal Mazzotti Raymond Bussières Agnès Viala","Paul Grimault","France","French","The huge kingdom of Takicardia is ruled by a king under the unwieldy title of Charles V + III = VIII + VIII = XVI. He’s a heartless ruler, hated by his people as much as he hates them. The king is fond of hunting, but is unfortunately cross-eyed – not that anyone would dare acknowledge this in front of him, as the numerous statues and paintings that adorn the palace and the land show. Occasionally the king does hit his target though, notably the wife of the bird, known only as ""l'Oiseau"", the narrator of the story who takes pleasure in taunting the terrible king at every opportunity."
"The Last Flight of Noah's Ark",1980,"Elliott Gould Geneviève Bujold Ricky Schroder","Charles Jarrott","United States","English","A jaded pilot named Noah Dugan (Elliott Gould) is unemployed and owes a large amount of money due to his gambling. He goes to an old friend, Stoney (Vincent Gardenia), who owns an airfield. He is offered a job flying a cargo of animals to a remote South Pacific island aboard a B-29 bomber, a large plane well past its prime.[Note 1] Bernadette Lafleur (Geneviève Bujold) is the prim missionary who accompanies him. Bernadette has raised the animals at an orphanage and is close to two of the orphans, Bobby (Ricky Schroder) and Julie (Tammy Lauren)."
"Never Never Land",1980,"Petula Clark Cathleen Nesbitt John Castle Anne Seymour Heather Miller Evelyn Laye Roland Culver","Paul Annett","United Kingdom","English","Seven-year-old Jennie (Heather Miller) has been abandoned by her parents and left in the care of her aunt Bee (Petula Clark) and uncle Jim (John Castle). Jennie is treated poorly by her two elder cousins, and taking her lead from the story Peter and Wendy, she runs away from home with her younger cousin Joe (Christian Henson). She finds shelter in an abandoned London townhouse occupied by a gang of young ruffians, and becomes the equivalent of Wendy, role-playing ""mother"" to the Lost Boys. An old woman named Edith Forbes (Cathleen Nesbitt, in her final screen performance) befriends the girl."
"The Return of the King",1980,"Orson Bean John Huston William Conrad Roddy Mc Dowall Theodore Bikel","Arthur Rankin, Jr.Jules Bass"," of origin United States Japan",NA,"During the 129th birthday celebration for Bilbo Baggins in Rivendell, Frodo begins his story with Samwise Gamgee, his friend and companion, treading through Mordor as Ring-bearer in Frodo's absence, when Frodo is captive in the orc fortress of Cirith Ungol. During his journey, Sam ponders claiming the Ring himself; but rejects the idea and rescues Frodo."
