country_entity_name,adjectivals,demonyms,adjectivals_unnested,demonyms_unnested
philippines,"filipino, philippine",filipinos/filipinas,philippine,filipinos
philippines,"filipino, philippine",filipinos/filipinas,philippine,filipinas
pitcairn islands,pitcairn island,pitcairn islanders,pitcairn,pitcairn
pitcairn islands,pitcairn island,pitcairn islanders,pitcairn,islanders
pitcairn islands,pitcairn island,pitcairn islanders,island,pitcairn
pitcairn islands,pitcairn island,pitcairn islanders,island,islanders
poland,polish,poles,polish,poles
portugal,portuguese,portuguese,portuguese,portuguese
puerto rico,puerto rican,puerto ricans,puerto,puerto
puerto rico,puerto rican,puerto ricans,puerto,ricans
puerto rico,puerto rican,puerto ricans,rican,puerto
puerto rico,puerto rican,puerto ricans,rican,ricans
qatar,qatari,qataris,qatari,qataris
réunion,"réunionese, réunionnais","réunionese, réunionnais/réunionnaises",réunionese,réunionese
réunion,"réunionese, réunionnais","réunionese, réunionnais/réunionnaises",réunionese,réunionnais
réunion,"réunionese, réunionnais","réunionese, réunionnais/réunionnaises",réunionese,réunionnaises
réunion,"réunionese, réunionnais","réunionese, réunionnais/réunionnaises",réunionnais,réunionese
réunion,"réunionese, réunionnais","réunionese, réunionnais/réunionnaises",réunionnais,réunionnais
réunion,"réunionese, réunionnais","réunionese, réunionnais/réunionnaises",réunionnais,réunionnaises
romania,romanian,romanians,romanian,romanians
russia,russian,russians,russian,russians
rwanda,rwandan,"rwandans, banyarwanda",rwandan,rwandans
rwanda,rwandan,"rwandans, banyarwanda",rwandan,banyarwanda
saba,saba,saba dutch,saba,saba
saba,saba,saba dutch,saba,dutch
saint barthélemy,barthélemois,barthélemois/barthélemoises,barthélemois,barthélemois
saint barthélemy,barthélemois,barthélemois/barthélemoises,barthélemois,barthélemoises
"saint helena, ascension and tristan da cunha",saint helenian,saint helenians,saint,saint
"saint helena, ascension and tristan da cunha",saint helenian,saint helenians,saint,helenians
"saint helena, ascension and tristan da cunha",saint helenian,saint helenians,helenian,saint
"saint helena, ascension and tristan da cunha",saint helenian,saint helenians,helenian,helenians
saint kitts and nevis,kittitian or nevisian,kittitians or nevisians,kittitian,kittitians
saint kitts and nevis,kittitian or nevisian,kittitians or nevisians,kittitian,nevisians
saint kitts and nevis,kittitian or nevisian,kittitians or nevisians,nevisian,kittitians
saint kitts and nevis,kittitian or nevisian,kittitians or nevisians,nevisian,nevisians
saint lucia,saint lucian,saint lucians,saint,saint
saint lucia,saint lucian,saint lucians,saint,lucians
saint lucia,saint lucian,saint lucians,lucian,saint
saint lucia,saint lucian,saint lucians,lucian,lucians
saint martin,saint-martinoise,saint-martinois/saint-martinoises,saint-martinoise,saint-martinois
saint martin,saint-martinoise,saint-martinois/saint-martinoises,saint-martinoise,saint-martinoises
saint pierre and miquelon,"saint-pierrais, miquelonnais",saint-pierrais/saint-pierraises or miquelonnais/miquelonnaises,saint-pierrais,saint-pierrais
saint pierre and miquelon,"saint-pierrais, miquelonnais",saint-pierrais/saint-pierraises or miquelonnais/miquelonnaises,saint-pierrais,saint-pierraises
saint pierre and miquelon,"saint-pierrais, miquelonnais",saint-pierrais/saint-pierraises or miquelonnais/miquelonnaises,saint-pierrais,miquelonnais
saint pierre and miquelon,"saint-pierrais, miquelonnais",saint-pierrais/saint-pierraises or miquelonnais/miquelonnaises,saint-pierrais,miquelonnaises
saint pierre and miquelon,"saint-pierrais, miquelonnais",saint-pierrais/saint-pierraises or miquelonnais/miquelonnaises,miquelonnais,saint-pierrais
saint pierre and miquelon,"saint-pierrais, miquelonnais",saint-pierrais/saint-pierraises or miquelonnais/miquelonnaises,miquelonnais,saint-pierraises
saint pierre and miquelon,"saint-pierrais, miquelonnais",saint-pierrais/saint-pierraises or miquelonnais/miquelonnaises,miquelonnais,miquelonnais
saint pierre and miquelon,"saint-pierrais, miquelonnais",saint-pierrais/saint-pierraises or miquelonnais/miquelonnaises,miquelonnais,miquelonnaises
saint vincent and the grenadines,"saint vincentian, vincentian",saint vincentians or vincentians,saint,saint
saint vincent and the grenadines,"saint vincentian, vincentian",saint vincentians or vincentians,saint,vincentians
saint vincent and the grenadines,"saint vincentian, vincentian",saint vincentians or vincentians,saint,vincentians
saint vincent and the grenadines,"saint vincentian, vincentian",saint vincentians or vincentians,vincentian,saint
saint vincent and the grenadines,"saint vincentian, vincentian",saint vincentians or vincentians,vincentian,vincentians
saint vincent and the grenadines,"saint vincentian, vincentian",saint vincentians or vincentians,vincentian,vincentians
saint vincent and the grenadines,"saint vincentian, vincentian",saint vincentians or vincentians,vincentian,saint
saint vincent and the grenadines,"saint vincentian, vincentian",saint vincentians or vincentians,vincentian,vincentians
saint vincent and the grenadines,"saint vincentian, vincentian",saint vincentians or vincentians,vincentian,vincentians
samoa,samoan,samoans,samoan,samoans
san marino,sammarinese,sammarinese,sammarinese,sammarinese
são tomé and príncipe,são toméan,são toméans,são,são
são tomé and príncipe,são toméan,são toméans,são,toméans
são tomé and príncipe,são toméan,são toméans,toméan,são
são tomé and príncipe,são toméan,são toméans,toméan,toméans
saudi arabia,"saudi, saudi arabian","saudis, saudi arabians",saudi,saudis
saudi arabia,"saudi, saudi arabian","saudis, saudi arabians",saudi,saudi
saudi arabia,"saudi, saudi arabian","saudis, saudi arabians",saudi,arabians
saudi arabia,"saudi, saudi arabian","saudis, saudi arabians",saudi,saudis
saudi arabia,"saudi, saudi arabian","saudis, saudi arabians",saudi,saudi
saudi arabia,"saudi, saudi arabian","saudis, saudi arabians",saudi,arabians
saudi arabia,"saudi, saudi arabian","saudis, saudi arabians",arabian,saudis
saudi arabia,"saudi, saudi arabian","saudis, saudi arabians",arabian,saudi
saudi arabia,"saudi, saudi arabian","saudis, saudi arabians",arabian,arabians
scotland,scottish,"scots, scotsmen/scotswomen",scottish,scots
scotland,scottish,"scots, scotsmen/scotswomen",scottish,scotsmen
scotland,scottish,"scots, scotsmen/scotswomen",scottish,scotswomen
senegal,senegalese,senegalese,senegalese,senegalese
serbia,serbian,"serbs, serbians",serbian,serbs
serbia,serbian,"serbs, serbians",serbian,serbians
seychelles,seychellois,seychellois/seychelloises,seychellois,seychellois
seychelles,seychellois,seychellois/seychelloises,seychellois,seychelloises
sierra leone,sierra leonean,sierra leoneans,sierra,sierra
sierra leone,sierra leonean,sierra leoneans,sierra,leoneans
sierra leone,sierra leonean,sierra leoneans,leonean,sierra
sierra leone,sierra leonean,sierra leoneans,leonean,leoneans
singapore,"singapore, singaporean",singaporeans,singapore,singaporeans
singapore,"singapore, singaporean",singaporeans,singaporean,singaporeans
sint eustatius,"sint eustatius, statian",statians,sint,statians
sint eustatius,"sint eustatius, statian",statians,eustatius,statians
sint eustatius,"sint eustatius, statian",statians,statian,statians
sint maarten,sint maarten,sint maartener,sint,sint
sint maarten,sint maarten,sint maartener,sint,maartener
sint maarten,sint maarten,sint maartener,maarten,sint
sint maarten,sint maarten,sint maartener,maarten,maartener
slovakia,slovak,"slovaks, slovakians",slovak,slovaks
slovakia,slovak,"slovaks, slovakians",slovak,slovakians
slovenia,"slovenian, slovene","slovenes, slovenians",slovenian,slovenes
slovenia,"slovenian, slovene","slovenes, slovenians",slovenian,slovenians
slovenia,"slovenian, slovene","slovenes, slovenians",slovene,slovenes
slovenia,"slovenian, slovene","slovenes, slovenians",slovene,slovenians
solomon islands,solomon island,solomon islanders,solomon,solomon
solomon islands,solomon island,solomon islanders,solomon,islanders
solomon islands,solomon island,solomon islanders,island,solomon
solomon islands,solomon island,solomon islanders,island,islanders
somalia,somali,somalis,somali,somalis
somaliland,somalilander,somalilanders,somalilander,somalilanders
south africa,south african,south africans,south,south
south africa,south african,south africans,south,africans
south africa,south african,south africans,african,south
south africa,south african,south africans,african,africans
south georgia and the south sandwich islands,"south georgia island, south sandwich island",south georgia islanders or south sandwich islanders,south,south
south georgia and the south sandwich islands,"south georgia island, south sandwich island",south georgia islanders or south sandwich islanders,south,georgia
south georgia and the south sandwich islands,"south georgia island, south sandwich island",south georgia islanders or south sandwich islanders,south,islanders
south georgia and the south sandwich islands,"south georgia island, south sandwich island",south georgia islanders or south sandwich islanders,south,south
south georgia and the south sandwich islands,"south georgia island, south sandwich island",south georgia islanders or south sandwich islanders,south,sandwich
south georgia and the south sandwich islands,"south georgia island, south sandwich island",south georgia islanders or south sandwich islanders,south,islanders
south georgia and the south sandwich islands,"south georgia island, south sandwich island",south georgia islanders or south sandwich islanders,georgia,south
south georgia and the south sandwich islands,"south georgia island, south sandwich island",south georgia islanders or south sandwich islanders,georgia,georgia
south georgia and the south sandwich islands,"south georgia island, south sandwich island",south georgia islanders or south sandwich islanders,georgia,islanders
south georgia and the south sandwich islands,"south georgia island, south sandwich island",south georgia islanders or south sandwich islanders,georgia,south
south georgia and the south sandwich islands,"south georgia island, south sandwich island",south georgia islanders or south sandwich islanders,georgia,sandwich
south georgia and the south sandwich islands,"south georgia island, south sandwich island",south georgia islanders or south sandwich islanders,georgia,islanders
south georgia and the south sandwich islands,"south georgia island, south sandwich island",south georgia islanders or south sandwich islanders,island,south
south georgia and the south sandwich islands,"south georgia island, south sandwich island",south georgia islanders or south sandwich islanders,island,georgia
south georgia and the south sandwich islands,"south georgia island, south sandwich island",south georgia islanders or south sandwich islanders,island,islanders
south georgia and the south sandwich islands,"south georgia island, south sandwich island",south georgia islanders or south sandwich islanders,island,south
south georgia and the south sandwich islands,"south georgia island, south sandwich island",south georgia islanders or south sandwich islanders,island,sandwich
south georgia and the south sandwich islands,"south georgia island, south sandwich island",south georgia islanders or south sandwich islanders,island,islanders
south georgia and the south sandwich islands,"south georgia island, south sandwich island",south georgia islanders or south sandwich islanders,south,south
south georgia and the south sandwich islands,"south georgia island, south sandwich island",south georgia islanders or south sandwich islanders,south,georgia
south georgia and the south sandwich islands,"south georgia island, south sandwich island",south georgia islanders or south sandwich islanders,south,islanders
south georgia and the south sandwich islands,"south georgia island, south sandwich island",south georgia islanders or south sandwich islanders,south,south
south georgia and the south sandwich islands,"south georgia island, south sandwich island",south georgia islanders or south sandwich islanders,south,sandwich
south georgia and the south sandwich islands,"south georgia island, south sandwich island",south georgia islanders or south sandwich islanders,south,islanders
south georgia and the south sandwich islands,"south georgia island, south sandwich island",south georgia islanders or south sandwich islanders,sandwich,south
south georgia and the south sandwich islands,"south georgia island, south sandwich island",south georgia islanders or south sandwich islanders,sandwich,georgia
south georgia and the south sandwich islands,"south georgia island, south sandwich island",south georgia islanders or south sandwich islanders,sandwich,islanders
south georgia and the south sandwich islands,"south georgia island, south sandwich island",south georgia islanders or south sandwich islanders,sandwich,south
south georgia and the south sandwich islands,"south georgia island, south sandwich island",south georgia islanders or south sandwich islanders,sandwich,sandwich
south georgia and the south sandwich islands,"south georgia island, south sandwich island",south georgia islanders or south sandwich islanders,sandwich,islanders
south georgia and the south sandwich islands,"south georgia island, south sandwich island",south georgia islanders or south sandwich islanders,island,south
south georgia and the south sandwich islands,"south georgia island, south sandwich island",south georgia islanders or south sandwich islanders,island,georgia
south georgia and the south sandwich islands,"south georgia island, south sandwich island",south georgia islanders or south sandwich islanders,island,islanders
south georgia and the south sandwich islands,"south georgia island, south sandwich island",south georgia islanders or south sandwich islanders,island,south
south georgia and the south sandwich islands,"south georgia island, south sandwich island",south georgia islanders or south sandwich islanders,island,sandwich
south georgia and the south sandwich islands,"south georgia island, south sandwich island",south georgia islanders or south sandwich islanders,island,islanders
south ossetia,south ossetian,south ossetians,south,south
south ossetia,south ossetian,south ossetians,south,ossetians
south ossetia,south ossetian,south ossetians,ossetian,south
south ossetia,south ossetian,south ossetians,ossetian,ossetians
south sudan,south sudanese,south sudanese,south,south
south sudan,south sudanese,south sudanese,south,sudanese
south sudan,south sudanese,south sudanese,sudanese,south
south sudan,south sudanese,south sudanese,sudanese,sudanese
spain,spanish,spaniards,spanish,spaniards
sri lanka,sri lankan,sri lankans,sri,sri
sri lanka,sri lankan,sri lankans,sri,lankans
sri lanka,sri lankan,sri lankans,lankan,sri
sri lanka,sri lankan,sri lankans,lankan,lankans
sudan,sudanese,sudanese,sudanese,sudanese
suriname,surinamese,surinamers,surinamese,surinamers
svalbard,svalbard resident,svalbard residents,svalbard,svalbard
svalbard,svalbard resident,svalbard residents,svalbard,residents
svalbard,svalbard resident,svalbard residents,resident,svalbard
svalbard,svalbard resident,svalbard residents,resident,residents
swaziland,"swazi, swati",swazis,swazi,swazis
swaziland,"swazi, swati",swazis,swati,swazis
sweden,swedish,swedes,swedish,swedes
switzerland,swiss,swiss,swiss,swiss
syrian arab republic,syrian,syrians,syrian,syrians
tajikistan,tajikistani,"tajikistanis, tajiks",tajikistani,tajikistanis
tajikistan,tajikistani,"tajikistanis, tajiks",tajikistani,tajiks
tanzania,tanzanian,tanzanians,tanzanian,tanzanians
thailand,thai,thai,thai,thai
timor-leste,timorese,timorese,timorese,timorese
togo,togolese,togolese,togolese,togolese
tokelau,tokelauan,tokelauans,tokelauan,tokelauans
tonga,tongan,tongans,tongan,tongans
trinidad and tobago,trinidadian or tobagonian,trinidadians or tobagonians,trinidadian,trinidadians
trinidad and tobago,trinidadian or tobagonian,trinidadians or tobagonians,trinidadian,tobagonians
trinidad and tobago,trinidadian or tobagonian,trinidadians or tobagonians,tobagonian,trinidadians
trinidad and tobago,trinidadian or tobagonian,trinidadians or tobagonians,tobagonian,tobagonians
tunisia,tunisian,tunisians,tunisian,tunisians
turkey,turkish,turks,turkish,turks
turkmenistan,turkmen,turkmens,turkmen,turkmens
turks and caicos islands,turks and caicos island,turks and caicos islanders,turks,turks
turks and caicos islands,turks and caicos island,turks and caicos islanders,turks,and
turks and caicos islands,turks and caicos island,turks and caicos islanders,turks,caicos
turks and caicos islands,turks and caicos island,turks and caicos islanders,turks,islanders
turks and caicos islands,turks and caicos island,turks and caicos islanders,and,turks
turks and caicos islands,turks and caicos island,turks and caicos islanders,and,and
turks and caicos islands,turks and caicos island,turks and caicos islanders,and,caicos
turks and caicos islands,turks and caicos island,turks and caicos islanders,and,islanders
turks and caicos islands,turks and caicos island,turks and caicos islanders,caicos,turks
turks and caicos islands,turks and caicos island,turks and caicos islanders,caicos,and
turks and caicos islands,turks and caicos island,turks and caicos islanders,caicos,caicos
turks and caicos islands,turks and caicos island,turks and caicos islanders,caicos,islanders
turks and caicos islands,turks and caicos island,turks and caicos islanders,island,turks
turks and caicos islands,turks and caicos island,turks and caicos islanders,island,and
turks and caicos islands,turks and caicos island,turks and caicos islanders,island,caicos
turks and caicos islands,turks and caicos island,turks and caicos islanders,island,islanders
tuvalu,tuvaluan,tuvaluans,tuvaluan,tuvaluans
uganda,ugandan,ugandans,ugandan,ugandans
ukraine,ukrainian,ukrainians,ukrainian,ukrainians
united arab emirates,"emirati, emirian, emiri","emiratis, emirians, emiri",emirati,emiratis
united arab emirates,"emirati, emirian, emiri","emiratis, emirians, emiri",emirati,emirians
united arab emirates,"emirati, emirian, emiri","emiratis, emirians, emiri",emirati,emiri
united arab emirates,"emirati, emirian, emiri","emiratis, emirians, emiri",emirian,emiratis
united arab emirates,"emirati, emirian, emiri","emiratis, emirians, emiri",emirian,emirians
united arab emirates,"emirati, emirian, emiri","emiratis, emirians, emiri",emirian,emiri
united arab emirates,"emirati, emirian, emiri","emiratis, emirians, emiri",emiri,emiratis
united arab emirates,"emirati, emirian, emiri","emiratis, emirians, emiri",emiri,emirians
united arab emirates,"emirati, emirian, emiri","emiratis, emirians, emiri",emiri,emiri
united kingdom of great britain and northern ireland,"british, uk","britons, british",british,britons
united kingdom of great britain and northern ireland,"british, uk","britons, british",british,british
united kingdom of great britain and northern ireland,"british, uk","britons, british",uk,britons
united kingdom of great britain and northern ireland,"british, uk","britons, british",uk,british
united states of america,"united states,  us, american",americans,united,americans
united states of america,"united states,  us, american",americans,states,americans
united states of america,"united states,  us, american",americans,,americans
united states of america,"united states,  us, american",americans,us,americans
united states of america,"united states,  us, american",americans,american,americans
uruguay,uruguayan,uruguayans,uruguayan,uruguayans
uzbekistan,"uzbekistani, uzbek","uzbekistanis, uzbeks",uzbekistani,uzbekistanis
uzbekistan,"uzbekistani, uzbek","uzbekistanis, uzbeks",uzbekistani,uzbeks
uzbekistan,"uzbekistani, uzbek","uzbekistanis, uzbeks",uzbek,uzbekistanis
uzbekistan,"uzbekistani, uzbek","uzbekistanis, uzbeks",uzbek,uzbeks
vanuatu,"ni-vanuatu, vanuatuan",ni-vanuatu,ni-vanuatu,ni-vanuatu
vanuatu,"ni-vanuatu, vanuatuan",ni-vanuatu,vanuatuan,ni-vanuatu
vatican city state,vatican,vatican citizens,vatican,vatican
vatican city state,vatican,vatican citizens,vatican,citizens
"venezuela, bolivarian republic of",venezuelan,venezuelans,venezuelan,venezuelans
vietnam,vietnamese,vietnamese people,vietnamese,vietnamese
vietnam,vietnamese,vietnamese people,vietnamese,people
"virgin islands, british",british virgin island,british virgin islanders,british,british
"virgin islands, british",british virgin island,british virgin islanders,british,virgin
"virgin islands, british",british virgin island,british virgin islanders,british,islanders
"virgin islands, british",british virgin island,british virgin islanders,virgin,british
"virgin islands, british",british virgin island,british virgin islanders,virgin,virgin
"virgin islands, british",british virgin island,british virgin islanders,virgin,islanders
"virgin islands, british",british virgin island,british virgin islanders,island,british
"virgin islands, british",british virgin island,british virgin islanders,island,virgin
"virgin islands, british",british virgin island,british virgin islanders,island,islanders
"virgin islands, united states",us virgin island,us virgin islanders,us,us
"virgin islands, united states",us virgin island,us virgin islanders,us,virgin
"virgin islands, united states",us virgin island,us virgin islanders,us,islanders
"virgin islands, united states",us virgin island,us virgin islanders,virgin,us
"virgin islands, united states",us virgin island,us virgin islanders,virgin,virgin
"virgin islands, united states",us virgin island,us virgin islanders,virgin,islanders
"virgin islands, united states",us virgin island,us virgin islanders,island,us
"virgin islands, united states",us virgin island,us virgin islanders,island,virgin
"virgin islands, united states",us virgin island,us virgin islanders,island,islanders
wales,welsh,"welshmen/welshwomen, walian",welsh,welshmen
wales,welsh,"welshmen/welshwomen, walian",welsh,welshwomen
wales,welsh,"welshmen/welshwomen, walian",welsh,walian
wallis and futuna,"wallis and futuna, wallisian, futunan","wallis and futuna islanders, wallisians or futunans",wallis,wallis
wallis and futuna,"wallis and futuna, wallisian, futunan","wallis and futuna islanders, wallisians or futunans",wallis,and
wallis and futuna,"wallis and futuna, wallisian, futunan","wallis and futuna islanders, wallisians or futunans",wallis,futuna
wallis and futuna,"wallis and futuna, wallisian, futunan","wallis and futuna islanders, wallisians or futunans",wallis,islanders
wallis and futuna,"wallis and futuna, wallisian, futunan","wallis and futuna islanders, wallisians or futunans",wallis,wallisians
wallis and futuna,"wallis and futuna, wallisian, futunan","wallis and futuna islanders, wallisians or futunans",wallis,futunans
wallis and futuna,"wallis and futuna, wallisian, futunan","wallis and futuna islanders, wallisians or futunans",and,wallis
wallis and futuna,"wallis and futuna, wallisian, futunan","wallis and futuna islanders, wallisians or futunans",and,and
wallis and futuna,"wallis and futuna, wallisian, futunan","wallis and futuna islanders, wallisians or futunans",and,futuna
wallis and futuna,"wallis and futuna, wallisian, futunan","wallis and futuna islanders, wallisians or futunans",and,islanders
wallis and futuna,"wallis and futuna, wallisian, futunan","wallis and futuna islanders, wallisians or futunans",and,wallisians
wallis and futuna,"wallis and futuna, wallisian, futunan","wallis and futuna islanders, wallisians or futunans",and,futunans
wallis and futuna,"wallis and futuna, wallisian, futunan","wallis and futuna islanders, wallisians or futunans",futuna,wallis
wallis and futuna,"wallis and futuna, wallisian, futunan","wallis and futuna islanders, wallisians or futunans",futuna,and
wallis and futuna,"wallis and futuna, wallisian, futunan","wallis and futuna islanders, wallisians or futunans",futuna,futuna
wallis and futuna,"wallis and futuna, wallisian, futunan","wallis and futuna islanders, wallisians or futunans",futuna,islanders
wallis and futuna,"wallis and futuna, wallisian, futunan","wallis and futuna islanders, wallisians or futunans",futuna,wallisians
wallis and futuna,"wallis and futuna, wallisian, futunan","wallis and futuna islanders, wallisians or futunans",futuna,futunans
wallis and futuna,"wallis and futuna, wallisian, futunan","wallis and futuna islanders, wallisians or futunans",wallisian,wallis
wallis and futuna,"wallis and futuna, wallisian, futunan","wallis and futuna islanders, wallisians or futunans",wallisian,and
wallis and futuna,"wallis and futuna, wallisian, futunan","wallis and futuna islanders, wallisians or futunans",wallisian,futuna
wallis and futuna,"wallis and futuna, wallisian, futunan","wallis and futuna islanders, wallisians or futunans",wallisian,islanders
wallis and futuna,"wallis and futuna, wallisian, futunan","wallis and futuna islanders, wallisians or futunans",wallisian,wallisians
wallis and futuna,"wallis and futuna, wallisian, futunan","wallis and futuna islanders, wallisians or futunans",wallisian,futunans
wallis and futuna,"wallis and futuna, wallisian, futunan","wallis and futuna islanders, wallisians or futunans",futunan,wallis
wallis and futuna,"wallis and futuna, wallisian, futunan","wallis and futuna islanders, wallisians or futunans",futunan,and
wallis and futuna,"wallis and futuna, wallisian, futunan","wallis and futuna islanders, wallisians or futunans",futunan,futuna
wallis and futuna,"wallis and futuna, wallisian, futunan","wallis and futuna islanders, wallisians or futunans",futunan,islanders
wallis and futuna,"wallis and futuna, wallisian, futunan","wallis and futuna islanders, wallisians or futunans",futunan,wallisians
wallis and futuna,"wallis and futuna, wallisian, futunan","wallis and futuna islanders, wallisians or futunans",futunan,futunans
western sahara,"sahrawi, sahrawian, sahraouian","sahrawis, sahraouis",sahrawi,sahrawis
western sahara,"sahrawi, sahrawian, sahraouian","sahrawis, sahraouis",sahrawi,sahraouis
western sahara,"sahrawi, sahrawian, sahraouian","sahrawis, sahraouis",sahrawian,sahrawis
western sahara,"sahrawi, sahrawian, sahraouian","sahrawis, sahraouis",sahrawian,sahraouis
western sahara,"sahrawi, sahrawian, sahraouian","sahrawis, sahraouis",sahraouian,sahrawis
western sahara,"sahrawi, sahrawian, sahraouian","sahrawis, sahraouis",sahraouian,sahraouis
yemen,yemeni,yemenis,yemeni,yemenis
zambia,zambian,zambians,zambian,zambians
zimbabwe,zimbabwean,zimbabweans,zimbabwean,zimbabweans
